,tweet_time,tweet_language,count
676,04/21/2017,en,3732
677,12/20/2015,ru,3731
678,01/05/2017,en,3729
679,08/01/2015,ru,3727
680,12/05/2014,ru,3720
681,04/26/2017,en,3717
682,01/04/2017,en,3716
683,09/14/2015,ru,3713
684,06/13/2016,en,3710
685,04/15/2017,en,3700
686,03/14/2017,en,3697
687,12/10/2016,en,3695
688,04/04/2017,en,3691
689,06/14/2015,en,3690
690,04/01/2017,en,3689
691,04/19/2017,ru,3686
692,12/26/2015,ru,3684
693,09/23/2016,en,3683
694,01/30/2015,en,3679
695,12/01/2014,en,3679
696,04/10/2017,en,3672
697,04/05/2017,en,3654
698,07/18/2015,en,3645
699,02/16/2017,en,3643
700,04/29/2017,en,3631
701,04/25/2017,ru,3626
702,11/29/2016,en,3622
703,03/17/2017,ru,3616
704,11/06/2014,en,3614
705,03/30/2017,en,3614
706,05/03/2017,en,3612
707,04/16/2017,en,3606
708,12/10/2014,en,3604
709,12/16/2016,en,3603
710,11/14/2016,en,3600
711,08/03/2015,en,3599
712,04/14/2016,ru,3582
713,04/02/2017,en,3580
714,12/27/2015,ru,3577
715,12/07/2015,en,3575
716,02/06/2017,en,3565
717,09/27/2016,en,3562
718,12/03/2015,en,3554
719,01/06/2017,en,3551
720,04/23/2017,en,3549
721,12/15/2016,en,3547
722,07/12/2014,ru,3537
723,11/08/2015,ru,3535
724,07/30/2015,en,3533
725,02/27/2017,en,3529
726,03/13/2017,en,3527
727,03/14/2017,ru,3527
728,02/02/2015,en,3526
729,08/02/2014,ru,3522
730,03/09/2017,en,3518
731,04/07/2017,en,3517
732,03/16/2017,en,3515
733,01/29/2016,en,3509
734,10/24/2016,en,3502
735,03/27/2017,en,3497
736,05/11/2016,en,3495
737,06/29/2016,en,3494
738,02/10/2017,en,3484
739,05/04/2016,en,3471
740,03/03/2017,en,3464
741,04/27/2017,en,3462
742,12/16/2014,ru,3450
743,01/10/2017,en,3450
744,01/15/2015,en,3450
745,12/12/2015,ru,3443
746,09/14/2016,en,3442
747,09/03/2014,en,3441
748,12/01/2016,en,3439
749,06/05/2015,ru,3436
750,02/13/2017,en,3435
751,01/26/2017,en,3433
752,04/07/2017,ru,3429
753,08/28/2014,,3423
754,04/27/2015,en,3421
755,03/21/2017,en,3417
756,01/12/2017,en,3415
757,03/21/2017,ru,3399
758,12/30/2016,en,3393
759,05/25/2015,ru,3393
760,03/06/2017,en,3379
761,03/25/2017,en,3377
762,05/04/2017,en,3377
763,02/28/2017,en,3369
764,06/26/2015,en,3366
765,07/05/2015,en,3366
766,03/15/2017,en,3352
767,11/02/2016,en,3351
768,06/18/2015,ru,3350
769,05/02/2017,en,3346
770,12/13/2016,en,3344
771,02/22/2015,ru,3340
772,04/13/2017,ru,3338
773,04/06/2017,en,3330
774,03/20/2017,en,3327
775,03/02/2017,en,3327
776,07/02/2015,en,3324
777,03/17/2017,en,3319
778,03/05/2017,en,3315
779,06/17/2016,en,3314
780,03/28/2017,ru,3314
781,06/17/2015,en,3311
782,03/30/2017,ru,3310
783,10/05/2016,en,3300
784,01/20/2017,en,3299
785,09/21/2016,en,3297
786,03/20/2017,ru,3297
787,01/04/2016,en,3296
788,03/18/2017,ru,3294
789,12/21/2014,en,3291
790,03/31/2017,ru,3287
791,12/27/2016,en,3283
792,03/19/2017,ru,3279
793,10/18/2016,en,3277
794,08/25/2015,en,3271
795,02/23/2017,en,3269
796,12/29/2016,en,3269
797,10/26/2016,en,3268
798,01/13/2017,en,3266
799,10/11/2016,en,3266
800,03/23/2017,ru,3263
801,06/03/2015,ru,3258
802,05/12/2016,en,3258
803,01/31/2017,en,3256
804,06/04/2015,ru,3254
805,11/30/2015,en,3254
806,08/23/2016,en,3252
807,05/27/2015,ru,3249
808,08/19/2015,en,3244
809,02/22/2016,en,3235
810,04/23/2015,en,3235
811,04/21/2015,en,3232
812,02/01/2017,en,3230
813,12/11/2016,en,3229
814,08/11/2015,en,3226
815,02/18/2016,en,3219
816,04/30/2015,en,3218
817,05/01/2017,en,3218
818,07/20/2015,en,3216
819,12/23/2016,en,3214
820,07/28/2015,en,3204
821,01/15/2017,en,3200
822,04/18/2017,ru,3198
823,01/03/2017,en,3195
824,03/24/2017,ru,3195
825,03/26/2017,en,3194
826,05/03/2015,en,3191
827,03/10/2017,en,3190
828,05/08/2016,en,3185
829,12/08/2015,en,3167
830,12/20/2016,en,3165
831,01/17/2016,en,3164
832,04/29/2015,en,3163
833,04/04/2017,ru,3159
834,08/26/2015,en,3159
835,06/27/2015,en,3158
836,04/03/2017,ru,3155
837,06/23/2015,en,3154
838,02/05/2016,en,3153
839,04/09/2017,en,3152
840,03/04/2017,en,3152
841,10/20/2016,en,3137
842,11/30/2016,ru,3134
843,07/09/2015,ru,3134
844,09/26/2016,en,3130
845,02/25/2015,en,3129
846,06/24/2015,en,3126
847,05/26/2015,ru,3125
848,04/20/2017,ru,3117
849,06/01/2015,ru,3116
850,04/21/2017,ru,3111
851,05/27/2015,en,3110
852,08/20/2015,en,3108
853,03/19/2017,en,3105
854,08/04/2015,en,3096
855,03/22/2017,ru,3092
856,03/26/2017,ru,3091
857,03/12/2017,en,3090
858,08/05/2015,en,3084
859,05/18/2015,ru,3083
860,03/13/2017,ru,3078
861,04/06/2017,ru,3078
862,11/26/2015,en,3076
863,01/09/2017,en,3075
864,04/14/2017,ru,3073
865,03/11/2017,en,3071
866,04/11/2017,ru,3058
867,10/12/2016,ru,3057
868,04/06/2016,en,3054
869,12/13/2014,en,3053
870,02/03/2017,en,3043
871,11/28/2014,en,3039
872,12/17/2016,en,3035
873,03/27/2017,ru,3034
874,10/31/2016,en,3033
875,01/07/2017,en,3032
876,11/14/2014,ru,3029
877,12/31/2016,en,3021
878,11/13/2014,ru,3012
879,02/17/2017,en,3003
880,08/06/2015,en,3001
881,04/23/2017,ru,3000
882,07/07/2016,en,2999
883,02/28/2017,ru,2999
884,08/24/2015,en,2999
885,01/21/2015,en,2999
886,02/21/2017,en,2992
887,06/22/2015,ru,2986
888,02/14/2017,en,2982
889,04/20/2016,en,2975
890,03/18/2017,en,2970
891,11/29/2016,ru,2963
892,10/10/2016,ru,2961
893,03/29/2017,ru,2954
894,12/15/2015,en,2954
895,08/16/2016,en,2951
896,07/18/2017,en,2948
897,01/25/2016,en,2946
898,04/04/2015,en,2944
899,04/12/2017,ru,2936
900,02/20/2017,en,2932
901,08/12/2015,en,2927
902,05/28/2015,ru,2925
903,04/24/2015,en,2925
904,08/17/2015,en,2923
905,12/09/2015,en,2922
906,07/08/2015,ru,2917
907,02/27/2017,ru,2916
908,04/30/2017,en,2915
909,11/28/2016,ru,2907
910,10/17/2016,ru,2907
911,02/09/2017,en,2906
912,02/10/2016,en,2904
913,06/02/2015,ru,2901
914,02/24/2017,en,2898
915,04/28/2017,ru,2894
916,04/03/2015,en,2886
917,08/01/2015,en,2885
918,05/19/2015,ru,2881
919,04/27/2017,ru,2881
920,04/24/2017,ru,2880
921,12/15/2016,ru,2879
922,12/12/2016,ru,2876
923,02/03/2015,en,2869
924,09/18/2016,ru,2869
925,12/14/2015,en,2869
926,10/14/2016,ru,2866
927,01/16/2015,ru,2865
928,12/14/2016,ru,2860
929,01/11/2016,en,2860
930,11/19/2016,en,2854
931,02/02/2017,en,2853
932,04/22/2017,ru,2853
933,10/08/2015,en,2852
934,08/18/2015,en,2848
935,10/14/2016,en,2847
936,08/07/2014,en,2843
937,11/27/2016,en,2843
938,10/13/2016,en,2831
939,06/23/2015,ru,2829
940,02/07/2017,en,2821
941,10/20/2016,ru,2815
942,03/25/2017,ru,2815
943,01/17/2017,en,2814
944,06/08/2015,ru,2810
945,10/13/2016,ru,2803
946,10/15/2016,ru,2789
947,09/13/2016,en,2786
948,11/25/2016,en,2784
949,02/01/2016,en,2783
950,01/27/2017,en,2783
951,08/27/2015,en,2783
952,01/01/2017,en,2778
953,07/10/2015,ru,2774
954,05/16/2015,ru,2771
